rank,name,slug,tvl,category,chains,defillama_github,open_source_flag,tvl_code_path,best_source_repo,best_source_score,best_source_language,best_source_description
101,Lighter Bridge,lighter-bridge,491812306.89,Bridge,Ethereum;Arbitrum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/lighter-v2/index.js,,,,
102,mETH Protocol,meth-protocol,489685152.87,Liquid Staking,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/mantle-meth/index.js,,,,
103,SolvBTC,solvbtc,484570655.32,Bridge,Bitcoin;Ethereum;Binance;Solana;Base;Arbitrum;X Layer;Mantle;Polygon;Merlin;BOB;Avalanche,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/solvbtc/index.js,,,,
104,Korbit,korbit,476505495.53,CEX,Bitcoin;Ethereum;Ripple,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/korbit/index.js,,,,
105,Symbiotic,symbiotic,471872843.81,Restaking,Ethereum,symbioticfi,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/symbiotic/index.js,symbioticfi/relay-contracts,15,Solidity,Symbiotic Relay Smart Contracts
106,Lorenzo enzoBTC,lorenzo-enzobtc,459870921.44,Bridge,Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/lorenzo-enzoBTC/index.js,,,,
107,Merlins Seal,merlins-seal,455906981.73,Bridge,Bitcoin;Ethereum;Arbitrum;Zkfair,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/merlin-l2/index.js,,,,
108,Polymarket International,polymarket-international,453485705.61,Prediction Market,Polygon,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/polymarket.js,,,,
109,Indodax,indodax,439983229.78,CEX,Bitcoin;Ethereum;Solana;Binance;Tron;Cardano;Optimism;Polygon;Base;Arbitrum;Avalanche;Stellar;Algorand;Sui;Linea;EOS;Litecoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/indodax/index.js,,,,
110,xStocks,xstocks,422877398.45,RWA,Solana;Arbitrum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/xstocks/index.js,,,,
111,Quickswap Dex,quickswap-dex,421156050.75,Dexs,Polygon;Base,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/quickswap/index.js,,,,
112,Unit,unit,414114092.52,Bridge,Bitcoin;Ethereum;Solana;Plasma;Monad,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/unit-btc/index.js,,,,
113,Avalon USDa,avalon-usda,411470454.29,CDP,Binance;Ethereum;Klaytn;Berachain;Sonic;Mantle,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/avalon-finance-usda/index.js,,,,
114,HyperLend Pooled,hyperlend-pooled,401609988.39,Lending,Hyperliquid L1,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/aave.js,,,,
115,Lista CDP,lista-cdp,392038013.13,CDP,Binance,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/helio-money/index.js,,,,
116,tBTC,tbtc,391465432.1,Decentralized BTC,Bitcoin;Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/tbtc/index.js,,,,
117,Hyperliquid HLP,hyperliquid-hlp,384672092.71,Derivatives,Hyperliquid L1,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/hyperliquid-hlp/index.js,,,,
118,Linea Bridge,linea-bridge,380709177.66,Canonical Bridge,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/linea/index.js,,,,
119,Lightning Network,lightning-network,378970671.75,Payments,Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/lightning-network/index.js,,,,
120,Solstice USX,solstice-usx,378680267.68,Basis Trading,Solana,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/solstice-usx/index.js,,,,
121,Multipli.fi,multipli.fi,367489573.66,Yield,Ethereum;Base;Monad;Arbitrum;Binance;Avalanche,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/multipli/index.js,,,,
122,BounceBit CeDeFi Yield,bouncebit-cedefi-yield,361588836.11,Basis Trading,BounceBit;Binance;Ethereum;Solana;Base,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bouncebit-cedefi/index.js,,,,
123,Nexo,nexo,358042161.74,CEX,Ethereum;Binance;Polygon;Avalanche;Arbitrum;Optimism;Fantom,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/nexo-cex/index.js,,,,
124,Bedrock uniBTC,bedrock-unibtc,350460534.34,Anchor BTC,Bitcoin;Ethereum;Merlin;BOB;Binance;Mantle;Arbitrum;Bitlayer;BSquared;ZetaChain;Base;Optimism;RSK;Mode;Hemi;TAC;Taiko;Berachain,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bedrock/index.js,,,,
125,cap,cap,348121920.91,Lending,Ethereum,cap-labs-dev,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/cap-money/index.js,cap-labs-dev/cap-contracts,12,Solidity,
126,Aave Horizon RWA,aave-horizon-rwa,344924481.12,RWA Lending,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/registries/aaveV3.js,,,,
127,M0,m0,338638360.67,Stablecoin Issuer,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/m0/index.js,,,,
128,Hastra,hastra,338532241.8,RWA,Solana;Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/hastra/index.js,,,,
129,CIAN Yield Layer,cian-yield-layer,336035359.1,Yield Aggregator,Ethereum;Mantle;Arbitrum;Optimism;Base;Binance;Scroll,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/cian-yl/index.js,,,,
130,Phemex,phemex,333812970.36,CEX,Ethereum;Bitcoin;Ripple;Solana;Tron;Binance;Avalanche;Arbitrum;Polygon;Base;Optimism;zkSync Era;Linea;Sui;Fantom;Polkadot,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/phemex/index.js,,,,
131,PancakeSwap AMM V3,pancakeswap-amm-v3,327390571.53,Dexs,Binance;Ethereum;Base;Solana;Arbitrum;Monad;zkSync Era;Linea;Polygon zkEVM;Op_Bnb,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/pancakeswap-v3/index.js,,,,
132,UniRouter,unirouter,325705505.29,Bridge,BSquared,UniRouter,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/unirouter/index.js,UniRouter/unirouter-staking-contract,12,Solidity,
133,Stader,stader,324636576.71,Liquid Staking,Ethereum;Hedera;Binance;Fantom;Terra2;Near,stader-labs,True,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/stader/index.js,stader-labs/bnbX,10,Solidity,Binance liquid staking solution
134,Euler V2,euler-v2,322472517.86,Lending,Ethereum;Monad;Plasma;Avalanche;BOB;Base;Hyperliquid L1;Unichain;Arbitrum;Sonic;Binance;Berachain;Linea;TAC;Swellchain;Mantle,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/euler-v2/index.js,,,,
135,Free Protocol,free-protocol,321025370.27,Bridge,Merlin;Ethereum;Binance;Arbitrum;Manta;Kroma;Hemi;Polygon,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/free-protocol/index.js,,,,
136,Buzz Farming,buzz-farming,317007400.06,Farm,BSquared,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/buzz-farming/index.js,,,,
137,Kraken Bitcoin,kraken-bitcoin,314977024.71,Bridge,Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/kraken-btc/index.js,,,,
138,Stacks sBTC,stacks-sbtc,313863698.28,Bridge,Bitcoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/stacks-sbtc/index.js,,,,
139,Bitvavo,bitvavo,311059416.96,CEX,Bitcoin;Ethereum;Solana;Hyperliquid L1;Base;Arbitrum;Plasma;Optimism;Linea;Sonic;zkSync Era;Binance,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bitvavo/index.js,,,,
140,Backpack,backpack,304186837.98,CEX,Solana;Bitcoin;Hyperliquid L1;Ethereum;Base;Arbitrum;Ripple;Sui;Binance;Optimism;Aptos;Polygon;Sei;Tron;Monad;Doge;Plasma;Stable;Eclipse;Avalanche;Litecoin;Fogo,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/backpack/index.js,,,,
141,USD AI,usd-ai,290560700.23,RWA Lending,Arbitrum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/usdai/index.js,,,,
142,Upshift,upshift,284893545.68,Onchain Capital Allocator,Ethereum;Flare;Monad;Fluent;Hyperliquid L1;Avalanche;Plasma;Mezo;Base;Binance;Ink;Sui,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/upshift/index.js,,,,
143,Coinbase Wrapped Staked ETH,coinbase-wrapped-staked-eth,283296526.24,Liquid Staking,Ethereum,coinbase,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/cbETH/index.js,coinbase/smart-wallet,11,Solidity,
144,B2 Buzz,b2-buzz,282125800.55,Canonical Bridge,Bitcoin;Ethereum;Polygon;Binance,b2network,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bsquared/index.js,b2network/halving-protocol,10,Solidity,Commemorate BTC Halving
145,xDAI Stake Bridge,xdai-stake-bridge,281447574.84,Canonical Bridge,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/xdai/index.js,,,,
